countryname	lon	lat
广东电白	110.99	21.52
广东吴川	110.78	21.43
广东徐闻	110.17	20.34
广东海康	110.07	20.91
广东遂溪	110.24	21.39
广东肇庆	112.44	23.05
广东高要	112.44	23.05
广东怀集	112.18	23.93
广东广宁	112.43	23.14
广东四会	112.68	23.36
广东新兴	112.2	22.68
广东云浮	112.02	22.93
广东罗定	111.56	22.77
广东郁南	111.51	23.23
广东德庆	111.75	23.15
广东封开	111.48	23.45
广西南宁	108.33	22.84
广西柳州	109.4	24.33
广西桂林	110.28	25.29
广西梧州	111.34	23.51
广西凭祥	106.75	22.11
广西邕宁	108.49	22.74
广西武鸣	108.27	23.17
广西马山	108.2	23.73
广西上林	108.59	23.44
广西宾阳	108.8	23.22
广西横县	109.2	22.69
广西扶绥	107.92	22.65
广西崇左	107.37	22.42
广西宁明	107.08	22.12
广西龙州	106.84	22.36
广西大新	107.21	22.85
广西天等	107.12	23.08
广西隆安	107.68	23.18
广西河池	108.06	24.7
广西环江	108.26	24.83
广西罗城	108.9	24.79
广西宜山	108.64	24.47
广西东兰	107.36	24.53
广西凤山	107.05	24.55
广西天峨	107.16	25.01
广西南丹	107.54	24.98
广西都安	108.09	23.94
广西巴马	107.25	24.15
广西合山	108.89	23.82
广西柳城	109.24	24.67
广西融安	109.37	24.24
广西鹿寨	109.74	24.49
广西象州	109.7	23.98
广西武宜	109.66	23.6
广西柳江	109.34	24.27
广西来宾	109.24	23.76
广西忻城	108.66	24.07
广西融水	109.24	25.07
广西三江	109.58	25.8
广西金秀	110.18	24.14
广西临桂	110.22	25.22
广西灵川	110.33	25.42
广西兴安	110.66	25.6
广西资源	110.66	26.03
广西全州	111.06	25.96
广西灌阳	111.14	25.49
广西恭城	110.81	24.85
广西平乐	110.66	24.64
广西荔浦	110.38	24.51
广西永福	109.98	24.99
广西龙胜	110.02	25.78
广西苍悟	111.22	23.51
广西钟山	111.3	24.53
广西富川	110.26	24.83
广西贺县	111.54	24.44
广西岑溪	111	22.95
广西藤县	110.9	23.36
广西蒙山	110.54	24.22
广西昭平	110.8	24.18
广西玉林	110.14	22.64
广西桂平	110.07	23.38
广西平南	110.4	23.55
广西容县	110.53	22.87
广西北流	110.33	22.71
广西陆川	110.25	22.33
广西博白	109.98	22.27
广西贵县	109.6	23.11
广西北海	109.12	21.49
广西钦州	108.61	21.96
广西灵山	109.29	22.44
广西浦北	109.56	22.27
广西合浦	109.2	21.33
广西上思	107.98	22.16
广西防城	108.35	21.78
广西百色	106.62	23.91
广西凌云	106.55	24.35
广西乐业	106.56	24.78
广西田阳	106.9	23.75
广西田东	107.12	23.62
广西平果	107.59	23.33
广西德保	106.6	23.34
广西靖西	106.41	23.15
广西那坡	105.85	23.42
广西西林	105.08	24.51
广西田林	106.24	24.31
广西隆林	105.34	24.8
新疆乌鲁木齐	87.68	43.77
新疆克拉玛依	84.77	45.59
新疆石河子	85.94	44.27
新疆吐鲁番	89.19	42.91
新疆托克逊	88.63	42.77
新疆鄯善	90.25	42.82
新疆哈密	93.44	42.78
新疆伊吾	94.65	43.28
新疆巴里坤	93	43.6
新疆库尔勒	86.06	41.68
